"region","kön","ålder","inkomstklass","Medelinkomst, tkr 2002","Medelinkomst, tkr 2003","Medelinkomst, tkr 2004","Medelinkomst, tkr 2005","Medelinkomst, tkr 2006","Medelinkomst, tkr 2007","Medelinkomst, tkr 2008","Medelinkomst, tkr 2009","Medelinkomst, tkr 2010","Medelinkomst, tkr 2011","Medelinkomst, tkr 2012","Medelinkomst, tkr 2013","Medelinkomst, tkr 2014","Medelinkomst, tkr 2015","Medelinkomst, tkr 2016","Medelinkomst, tkr 2017","Medelinkomst, tkr 2018","Medianinkomst, tkr 2002","Medianinkomst, tkr 2003","Medianinkomst, tkr 2004","Medianinkomst, tkr 2005","Medianinkomst, tkr 2006","Medianinkomst, tkr 2007","Medianinkomst, tkr 2008","Medianinkomst, tkr 2009","Medianinkomst, tkr 2010","Medianinkomst, tkr 2011","Medianinkomst, tkr 2012","Medianinkomst, tkr 2013","Medianinkomst, tkr 2014","Medianinkomst, tkr 2015","Medianinkomst, tkr 2016","Medianinkomst, tkr 2017","Medianinkomst, tkr 2018"
"0114 Upplands Väsby","totalt","totalt 20+ år","totalt",232.3,237.5,240.9,246.7,253.3,262.9,273.5,276.5,278.5,285.3,292.2,296.4,302.6,307.4,316.0,323.9,332.2,213.9,218.9,221.4,225.0,231.3,240.0,249.7,254.1,255.7,261.5,267.5,271.8,276.8,284.0,292.7,300.5,308.7
"0115 Vallentuna","totalt","totalt 20+ år","totalt",241.9,247.3,252.5,261.5,270.0,283.1,294.4,303.2,304.9,314.1,323.2,329.9,338.2,344.4,356.2,366.9,376.8,217.3,222.2,227.6,234.0,242.0,253.8,264.5,271.1,276.3,284.8,294.3,301.2,308.4,314.5,324.5,334.8,343.9
"0117 Österåker","totalt","totalt 20+ år","totalt",247.1,251.9,257.4,267.3,276.6,287.6,299.7,303.5,307.7,316.7,325.0,333.3,340.3,345.2,354.6,364.5,373.8,218.1,222.6,228.2,234.4,241.6,251.4,261.9,269.1,273.2,278.9,285.7,294.3,299.7,305.7,313.4,323.6,332.4
"0120 Värmdö","totalt","totalt 20+ år","totalt",242.4,248.7,257.5,265.3,274.6,288.0,299.1,304.0,308.1,318.9,325.7,332.7,342.9,350.2,358.3,366.8,377.0,217.3,222.8,230.0,235.1,242.6,253.8,264.9,271.2,276.4,282.6,290.1,297.5,303.7,311.6,321.6,331.9,340.9
"0123 Järfälla","totalt","totalt 20+ år","totalt",241.6,246.0,251.6,256.5,264.0,273.1,281.3,284.4,285.7,291.7,299.1,303.4,308.7,312.5,321.6,330.3,338.2,219.3,223.7,227.8,230.8,237.6,245.2,255.5,259.4,260.5,265.1,272.4,277.4,280.5,285.4,295.6,305.0,313.5
"0125 Ekerö","totalt","totalt 20+ år","totalt",264.0,269.1,278.2,287.3,295.6,310.3,322.6,328.5,332.5,343.6,352.6,359.8,370.7,389.8,399.6,409.9,438.4,228.0,235.3,242.7,247.6,255.5,267.0,278.2,285.1,289.0,297.6,304.6,311.7,318.2,326.2,336.9,347.9,358.2
"0126 Huddinge","totalt","totalt 20+ år","totalt",230.3,234.9,240.0,246.1,253.5,263.1,272.1,274.7,278.5,285.9,294.6,301.1,306.3,311.9,322.1,331.3,340.1,209.7,214.7,218.8,223.1,230.0,238.1,247.4,251.7,255.2,260.9,269.1,274.7,279.9,285.6,295.8,305.3,313.4
"0127 Botkyrka","totalt","totalt 20+ år","totalt",197.9,202.5,207.4,210.7,216.9,224.4,231.9,234.0,236.8,242.0,248.2,253.8,257.4,261.1,269.0,277.1,286.2,185.6,190.6,194.4,196.7,201.7,208.6,216.6,219.5,220.7,224.3,231.1,236.6,240.0,244.6,253.8,263.2,271.2
"0128 Salem","totalt","totalt 20+ år","totalt",244.7,250.0,257.1,264.3,271.1,282.0,294.4,297.5,301.7,307.4,314.9,323.1,326.3,330.9,342.3,354.2,363.9,222.6,228.4,233.5,238.8,246.0,256.4,268.9,274.6,278.1,283.4,289.7,295.6,301.8,308.3,315.6,328.6,337.3
"0136 Haninge","totalt","totalt 20+ år","totalt",218.1,222.0,227.3,232.6,239.2,247.1,256.7,258.5,261.0,267.4,274.5,279.8,285.3,290.8,300.3,308.6,317.0,205.8,209.8,214.3,217.7,224.4,232.2,241.5,245.9,247.1,251.8,260.2,265.7,270.4,276.3,286.0,295.3,304.6
"0138 Tyresö","totalt","totalt 20+ år","totalt",247.2,251.5,256.5,264.9,274.5,287.2,298.5,300.1,304.4,311.1,319.6,328.6,335.6,342.4,352.6,363.8,375.8,223.0,228.2,232.1,237.3,244.7,255.2,265.4,270.9,273.9,279.7,287.8,296.0,302.0,310.1,319.6,329.3,338.6
"0139 Upplands-Bro","totalt","totalt 20+ år","totalt",224.3,229.7,235.0,238.9,245.1,255.6,265.2,267.2,269.9,277.4,284.7,291.3,296.3,300.3,309.9,318.9,326.5,209.3,213.7,218.4,223.2,227.8,237.2,247.1,251.2,253.4,259.6,267.4,273.1,278.1,283.5,292.2,302.2,310.8
"0140 Nykvarn","totalt","totalt 20+ år","totalt",240.0,245.9,256.2,264.3,272.7,287.4,299.9,296.1,303.9,312.3,321.0,326.7,331.4,340.4,352.3,362.8,373.9,222.6,229.1,237.7,243.8,252.2,264.9,277.6,278.5,283.4,290.7,299.7,308.7,311.9,321.3,333.8,346.7,356.9
"0160 Täby","totalt","totalt 20+ år","totalt",298.0,301.4,309.5,320.7,333.2,352.0,367.1,368.0,374.2,383.3,391.4,400.4,409.4,417.5,429.3,441.0,454.3,241.2,246.2,251.6,257.8,268.3,280.5,293.1,300.1,303.0,310.2,319.9,328.3,334.8,341.8,353.9,364.8,375.2
"0162 Danderyd","totalt","totalt 20+ år","totalt",371.0,368.5,384.8,401.7,418.7,447.8,463.5,460.1,476.4,486.7,490.4,503.0,520.1,529.6,544.6,555.6,581.5,250.8,255.4,265.7,272.2,284.3,294.6,308.0,315.4,318.0,326.3,337.0,346.2,354.2,359.8,370.8,383.8,395.0
"0163 Sollentuna","totalt","totalt 20+ år","totalt",271.2,277.0,283.3,293.3,303.7,319.4,334.0,336.5,340.8,350.8,359.5,366.1,374.2,381.8,392.7,402.1,412.6,229.3,235.4,240.8,244.8,253.1,264.0,275.9,281.6,284.0,291.1,300.1,308.1,312.2,319.0,329.7,339.2,348.0
"0180 Stockholm","totalt","totalt 20+ år","totalt",238.7,242.4,249.0,256.9,267.4,280.1,292.6,295.7,301.1,311.3,320.7,328.8,337.4,346.4,358.8,369.2,382.5,205.3,210.0,215.1,219.6,228.6,239.1,251.7,257.7,261.4,269.5,279.4,286.7,293.1,300.8,312.7,323.2,334.0
"0181 Södertälje","totalt","totalt 20+ år","totalt",202.8,208.5,213.8,217.8,224.8,231.6,237.1,233.4,237.0,244.1,250.6,255.2,257.0,262.0,269.4,277.6,288.4,192.3,197.6,201.4,204.8,209.8,215.2,222.0,222.3,221.2,227.0,234.0,238.8,240.7,245.9,255.1,264.0,275.7
"0182 Nacka","totalt","totalt 20+ år","totalt",271.9,275.9,285.2,296.6,307.8,325.9,337.5,340.7,346.4,357.3,365.6,372.9,384.3,392.6,406.5,416.1,428.2,224.9,230.6,237.5,243.2,252.1,264.0,275.4,281.4,285.5,294.9,304.8,311.0,319.1,327.8,339.2,349.9,361.0
"0183 Sundbyberg","totalt","totalt 20+ år","totalt",227.5,231.4,235.7,239.5,246.8,257.8,267.8,271.7,275.3,283.8,293.0,300.3,309.3,316.6,330.1,343.2,356.5,208.9,212.6,216.3,219.7,226.6,237.7,246.8,252.3,255.6,261.8,271.8,278.9,287.4,294.6,307.5,320.2,332.9
"0184 Solna","totalt","totalt 20+ år","totalt",230.1,234.9,240.2,246.6,257.4,270.1,283.2,288.5,293.3,301.0,310.4,319.3,328.7,334.4,346.6,359.2,370.4,209.2,213.5,218.0,223.3,231.8,243.7,257.0,263.7,267.4,274.7,286.1,296.1,304.0,311.1,323.2,335.6,347.3
"0186 Lidingö","totalt","totalt 20+ år","totalt",309.7,312.0,323.6,336.9,352.5,369.8,386.8,383.6,393.9,405.6,412.1,421.6,432.7,446.5,457.3,470.2,489.2,231.2,236.7,242.7,248.9,258.1,269.0,281.0,288.2,289.8,295.6,305.9,313.5,318.8,326.5,338.5,352.0,362.2
"0187 Vaxholm","totalt","totalt 20+ år","totalt",255.6,261.3,273.0,285.1,294.4,314.6,321.1,331.8,339.2,350.1,363.7,367.6,382.0,388.1,397.3,413.2,425.0,221.6,226.7,233.2,239.6,248.9,262.7,271.7,281.5,285.5,295.5,304.8,313.4,317.9,324.8,336.4,348.7,359.0
"0188 Norrtälje","totalt","totalt 20+ år","totalt",196.7,203.8,208.6,213.1,220.3,229.1,237.2,241.9,244.6,251.7,258.3,264.3,269.3,275.4,283.8,292.3,299.0,184.8,190.4,194.8,198.4,204.5,212.1,219.8,224.2,225.6,230.5,237.2,242.5,245.9,251.7,261.4,269.1,276.6
"0191 Sigtuna","totalt","totalt 20+ år","totalt",227.1,232.2,236.7,242.7,247.7,257.2,267.0,265.5,268.2,273.0,280.0,283.9,289.2,294.1,302.5,310.9,318.9,206.6,211.1,214.6,218.3,223.3,232.5,241.1,243.2,244.8,250.7,257.4,262.4,266.8,272.1,281.6,289.1,297.4
"0192 Nynäshamn","totalt","totalt 20+ år","totalt",211.9,217.1,222.9,229.5,233.6,241.1,248.1,252.3,255.5,261.8,269.4,274.3,279.5,285.6,295.7,303.2,311.2,199.9,203.1,210.0,212.7,216.3,222.6,231.9,236.7,237.9,243.5,251.4,256.2,259.6,265.6,276.2,283.5,291.5
"0305 Håbo","totalt","totalt 20+ år","totalt",239.9,244.3,249.6,255.2,264.0,274.7,283.1,286.2,289.0,296.2,304.6,310.1,316.2,322.8,331.2,341.1,349.0,218.5,224.7,228.7,233.4,240.7,249.8,260.3,264.8,267.5,274.0,283.5,288.8,292.3,299.8,309.0,318.5,326.6
"0319 Älvkarleby","totalt","totalt 20+ år","totalt",193.4,198.7,205.3,208.4,213.8,222.0,231.5,237.0,239.4,245.5,250.5,255.0,259.6,262.8,269.7,278.1,287.1,183.7,189.6,195.8,197.5,203.1,208.7,219.3,224.5,225.4,224.9,231.3,238.0,241.5,243.7,252.2,261.4,270.3
"0330 Knivsta","totalt","totalt 20+ år","totalt",245.5,252.4,258.6,267.1,276.0,288.6,299.6,303.1,308.5,322.2,332.0,338.0,345.2,352.0,363.8,372.8,382.0,217.8,223.9,229.7,236.4,245.1,256.3,268.2,272.6,278.6,289.4,300.1,305.2,312.9,320.4,331.8,342.2,353.7
"0331 Heby","totalt","totalt 20+ år","totalt",176.5,183.9,189.1,193.7,200.2,208.1,215.4,217.1,219.9,226.9,235.4,240.9,246.4,253.1,263.8,271.9,278.2,170.7,176.2,180.4,183.7,189.4,196.6,203.7,206.1,207.0,211.8,219.8,226.4,230.4,235.5,245.9,256.4,262.6
"0360 Tierp","totalt","totalt 20+ år","totalt",178.6,186.1,190.9,195.7,201.8,208.5,217.5,220.2,223.4,231.1,238.6,243.2,248.0,254.1,261.4,269.4,278.6,172.1,177.3,182.1,184.9,190.9,196.1,205.2,209.2,209.8,216.1,223.6,227.3,230.1,236.7,244.4,252.1,262.4
"0380 Uppsala","totalt","totalt 20+ år","totalt",207.2,213.8,218.8,223.4,231.1,240.0,249.6,253.2,256.2,263.9,271.7,279.0,286.2,293.2,303.6,311.2,318.8,191.0,196.8,200.9,204.1,210.7,219.4,229.2,233.9,236.2,242.8,250.8,258.0,263.7,270.9,281.7,289.7,296.7
"0381 Enköping","totalt","totalt 20+ år","totalt",198.1,206.4,211.9,216.6,224.4,234.2,242.7,247.8,251.8,260.6,268.5,276.2,279.8,287.5,296.6,304.6,313.3,187.2,193.4,198.6,202.5,208.7,217.7,226.2,233.4,234.9,241.0,250.3,256.3,260.3,268.4,277.2,284.9,293.2
"0382 Östhammar","totalt","totalt 20+ år","totalt",196.8,202.9,208.1,214.4,221.5,230.1,240.6,241.8,244.5,256.0,265.7,269.7,272.4,280.7,286.9,298.0,306.0,183.9,189.6,194.9,198.8,203.6,211.4,222.7,228.7,230.2,235.9,244.0,250.3,253.5,259.2,265.3,275.1,282.2
"0428 Vingåker","totalt","totalt 20+ år","totalt",182.3,188.7,193.1,198.1,204.3,212.2,220.8,224.0,226.2,230.7,235.7,241.8,244.8,250.0,256.8,263.2,268.9,178.6,183.5,187.9,191.3,197.7,203.6,212.5,218.5,218.1,221.7,226.2,231.3,231.8,236.3,243.6,249.1,254.6
"0461 Gnesta","totalt","totalt 20+ år","totalt",198.9,205.4,208.8,216.3,223.7,233.6,242.5,244.1,250.2,256.9,263.6,267.6,272.7,278.6,288.2,297.5,306.1,189.1,195.1,198.8,203.0,210.6,219.9,229.3,233.3,235.7,241.7,246.7,250.6,254.7,261.4,269.1,279.7,287.8
"0480 Nyköping","totalt","totalt 20+ år","totalt",200.2,208.2,213.2,219.8,227.3,237.4,246.5,249.4,253.0,259.9,266.7,273.3,278.0,284.1,293.0,300.4,309.5,187.5,194.4,199.2,204.1,210.9,219.4,228.7,233.1,235.5,241.9,247.7,254.5,258.9,264.5,273.3,281.3,290.2
